"Problem","File","Severity","Line","Column","Rule","Description","URL","Category","Engine"
"1","/Users/jpugh/workspace/salesforce/ChangeDataCapture/force-app/main/default/classes/BatchChangeEventGenerator.cls","3","7","27","ApexDoc","Missing ApexDoc @description","https://pmd.github.io/pmd-6.28.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","/Users/jpugh/workspace/salesforce/ChangeDataCapture/force-app/main/default/classes/BatchChangeEventGenerator.cls","3","17","12","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.28.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","/Users/jpugh/workspace/salesforce/ChangeDataCapture/force-app/main/default/classes/BatchChangeEventGenerator.cls","3","26","34","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.28.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"4","/Users/jpugh/workspace/salesforce/ChangeDataCapture/force-app/main/default/classes/BatchChangeEventGenerator.cls","3","37","17","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.28.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","/Users/jpugh/workspace/salesforce/ChangeDataCapture/force-app/main/default/classes/BatchChangeEventGenerator.cls","3","71","17","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.28.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"6","/Users/jpugh/workspace/salesforce/ChangeDataCapture/force-app/main/default/classes/ChangeCaptureEvent.cls","3","2","14","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.28.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"7","/Users/jpugh/workspace/salesforce/ChangeDataCapture/force-app/main/default/classes/ChangeCaptureEvent.cls","3","2","14","ExcessivePublicCount","This class has a bunch of public methods and attributes","https://pmd.github.io/pmd-6.28.0/pmd_rules_apex_design.html#excessivepubliccount","Design","pmd"
"8","/Users/jpugh/workspace/salesforce/ChangeDataCapture/force-app/main/default/classes/ChangeCaptureEvent.cls","3","14","12","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.28.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"9","/Users/jpugh/workspace/salesforce/ChangeDataCapture/force-app/main/default/classes/ChangeCaptureEvent.cls","3","34","19","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.28.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"10","/Users/jpugh/workspace/salesforce/ChangeDataCapture/force-app/main/default/classes/ChangeCaptureEvent.cls","3","38","19","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.28.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
